CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
138261-41-3,9.25E-01,2.41E+00,-1.09E+01,9.84E-01,5.49E-01,3.23E+02,-9.59E+00,-1.00E+00,8.83E+00,2.07E+00,5.99E-01,1.47E+02,-8.92E+00,-2.68E+00,5.00E+00
139-40-2,-9.81E-01,2.36E+00,-1.09E+01,1.12E+00,6.96E-01,3.38E+02,-7.91E+00,-8.98E-01,8.41E+00,2.37E+00,3.08E+00,2.03E+02,-6.74E+00,-4.28E+00,5.00E+00
140-11-4,3.01E-01,2.18E+00,-1.09E+01,8.25E-01,6.34E-01,2.16E+02,-6.41E+00,-8.73E-01,4.83E+00,1.86E+00,2.10E+00,-1.08E+01,-7.43E-01,-1.82E+00,5.00E+00
140-56-7,9.37E-01,2.40E+00,-1.09E+01,9.37E-01,7.31E-01,2.76E+02,-7.24E+00,-9.10E-01,8.60E+00,1.31E+00,8.65E-01,1.56E+02,-7.52E+00,-9.67E-01,5.00E+00
140-57-8,-1.03E+00,2.52E+00,-1.08E+01,2.18E+00,5.63E-01,3.72E+02,-5.25E+00,-1.95E-01,1.09E+01,3.33E+00,4.35E+00,-2.06E+01,-5.63E+00,-3.40E+00,3.00E+00
140-79-4,1.93E+00,2.16E+00,-1.20E+01,1.01E-01,8.79E-01,1.59E+02,-6.12E+00,-9.59E-01,2.75E+00,1.81E+00,-7.40E-01,1.56E+02,-2.25E+00,9.89E-01,5.00E+00
140-88-5,5.37E-01,2.00E+00,-1.08E+01,6.16E-01,6.64E-01,9.76E+01,-3.70E+00,-1.16E+00,3.13E+00,1.21E+00,1.27E+00,-7.04E+01,1.52E+00,-8.05E-01,3.00E+00
141-05-9,9.54E-01,2.24E+00,-1.06E+01,3.44E-01,6.16E-01,2.15E+02,-5.57E+00,-7.07E-01,4.58E+00,1.20E+00,8.20E-01,5.32E-01,-1.05E+00,-1.03E+00,3.00E+00
141-66-2,-1.53E-01,2.38E+00,-1.06E+01,-3.51E-02,6.17E-01,3.10E+02,-1.02E+01,-5.08E-01,7.38E+00,1.62E+00,-1.17E-02,-1.53E+01,-3.79E+00,5.32E-01,5.00E+00
141-78-6,2.64E+00,1.95E+00,-1.17E+01,5.09E-01,6.16E-01,7.77E+01,-3.80E+00,-1.03E+00,2.70E+00,1.26E+00,8.13E-01,-8.60E+01,1.96E+00,-2.22E-01,5.00E+00
141-90-2,6.99E-01,2.11E+00,-1.09E+01,1.61E-01,5.49E-01,3.08E+02,-8.14E+00,-5.26E-01,6.05E+00,1.64E+00,-4.81E-01,1.72E+02,-3.26E+00,-4.20E-01,5.00E+00
1420-04-8,-7.63E-01,2.59E+00,-1.09E+01,2.14E+00,6.48E-01,3.43E+02,-8.31E+00,-1.76E-01,9.33E+00,3.33E+00,3.77E+00,2.18E+02,-1.08E+01,-3.68E+00,5.00E+00
142-59-6,-1.16E-01,2.41E+00,-1.05E+01,7.69E-01,1.25E+00,3.58E+02,-1.02E+01,-9.28E-01,7.94E+00,2.66E+00,6.70E-01,1.72E+02,-5.72E+00,-4.06E-01,4.00E+00
143390-89-0,-9.29E-01,2.50E+00,-1.09E+01,2.53E+00,5.26E-01,3.64E+02,-7.71E+00,-4.57E-01,9.43E+00,3.10E+00,3.29E+00,9.29E+01,-7.40E+00,-5.18E+00,5.00E+00
143-50-0,-1.58E+00,2.69E+00,-1.18E+01,3.16E+00,2.96E+00,3.73E+02,-4.03E+00,8.92E-01,1.17E+01,4.25E+00,5.49E+00,2.53E+02,-6.79E+00,-5.53E+00,1.00E+00
1445-75-6,2.64E+00,2.26E+00,-1.05E+01,3.15E-01,5.66E-01,2.11E+02,-6.32E+00,-1.04E+00,5.78E+00,2.02E+00,1.33E+00,-6.68E+01,-7.20E-01,-2.35E-01,5.00E+00
1453-82-3,2.80E+00,2.09E+00,-1.07E+01,6.63E-01,5.53E-01,3.11E+02,-8.66E+00,-5.84E-01,7.45E+00,1.87E+00,-3.76E-01,1.45E+02,-3.94E+00,2.26E-01,5.00E+00
14698-29-4,-1.05E+00,2.42E+00,-1.07E+01,5.25E-01,5.25E-01,3.31E+02,-8.83E+00,-1.95E-05,1.07E+01,2.91E+00,1.04E+00,1.68E+02,-7.29E+00,-4.45E+00,3.00E+00
14816-18-3,-9.61E-01,2.47E+00,-1.07E+01,2.77E+00,6.38E-01,3.45E+02,-6.69E+00,7.39E-01,9.18E+00,2.54E+00,4.06E+00,1.16E+01,-4.84E+00,-4.67E+00,4.00E+00
148-18-5,-1.31E-01,2.23E+00,-1.09E+01,7.29E-01,8.87E-01,2.26E+02,-8.01E+00,-2.81E-01,4.50E+00,1.87E+00,1.59E+00,9.20E+01,-1.63E+00,-1.27E+00,4.00E+00
148-24-3,8.57E-01,2.16E+00,-1.03E+01,5.84E-01,4.91E-01,2.97E+02,-6.85E+00,-7.53E-01,8.40E+00,2.94E+00,2.07E+00,1.18E+02,-3.22E+00,-2.53E+00,5.00E+00
148-79-8,-5.69E-01,2.30E+00,-1.04E+01,8.98E-01,4.13E-01,3.27E+02,-7.16E+00,-8.37E-01,1.00E+01,3.23E+00,2.37E+00,2.79E+02,-8.18E+00,-3.51E+00,5.00E+00
149-30-4,8.59E-02,2.22E+00,-1.06E+01,9.67E-01,1.17E+00,2.89E+02,-5.63E+00,-9.55E-01,5.68E+00,2.31E+00,2.66E+00,1.73E+02,-4.44E+00,-3.14E+00,4.00E+00
150-68-5,-4.54E-01,2.30E+00,-1.09E+01,1.32E+00,6.96E-01,3.00E+02,-8.80E+00,-1.09E+00,9.30E+00,1.87E+00,1.97E+00,1.61E+02,-6.49E+00,-2.98E+00,5.00E+00
150-76-5,1.21E+00,2.09E+00,-1.01E+01,9.91E-01,7.29E-01,2.42E+02,-6.67E+00,-6.97E-01,5.98E+00,2.14E+00,1.54E+00,5.10E+01,-1.77E+00,-6.68E-01,1.00E+00
15299-99-7,6.93E-01,2.43E+00,-1.08E+01,1.98E+00,5.26E-01,3.35E+02,-8.14E+00,-8.48E-01,9.21E+00,2.85E+00,3.43E+00,7.57E+01,-6.56E+00,-3.53E+00,5.00E+00
1563-66-2,-7.59E-01,2.34E+00,-1.08E+01,8.92E-01,5.49E-01,2.81E+02,-9.04E+00,-2.61E-01,8.56E+00,1.94E+00,2.32E+00,1.38E+02,-5.30E+00,-2.70E+00,4.00E+00
156-60-5,2.05E+00,1.99E+00,-1.16E+01,1.01E+00,9.42E-01,5.49E+01,-2.39E+00,-8.31E-01,2.81E+00,1.74E+00,1.83E+00,-6.77E+01,2.14E+00,-1.36E+00,1.00E+00
1610-18-0,9.74E-01,2.35E+00,-1.08E+01,4.85E-01,5.82E-01,3.36E+02,-7.76E+00,-9.46E-01,8.41E+00,2.59E+00,3.05E+00,1.03E+02,-5.60E+00,-2.69E+00,5.00E+00
1634-04-4,2.50E+00,1.95E+00,-1.13E+01,4.01E-01,8.58E-01,5.81E+01,-3.03E+00,-8.65E-01,2.55E+00,1.27E+00,1.09E+00,-1.03E+02,2.50E+00,-4.81E-01,1.00E+00
16672-87-0,1.16E+00,2.16E+00,-1.05E+01,6.86E-01,5.65E-01,3.19E+02,-6.95E+00,-8.71E-01,7.85E+00,1.10E-01,-2.39E-01,7.68E+01,-6.57E+00,8.06E-01,5.00E+00
16752-77-5,-4.89E-01,2.21E+00,-1.10E+01,5.50E-01,5.49E-01,2.30E+02,-7.69E+00,-9.44E-01,6.48E+00,1.56E+00,5.87E-01,7.73E+01,-4.94E+00,-6.25E-01,4.00E+00
1689-84-5,7.37E-02,2.44E+00,-1.12E+01,7.61E-01,6.89E-01,3.07E+02,-6.82E+00,-6.85E-01,8.48E+00,2.67E+00,2.62E+00,2.07E+02,-6.63E+00,-3.06E+00,5.00E+00
1689-99-2,-1.47E+00,2.61E+00,-1.09E+01,2.86E+00,5.48E-01,3.47E+02,-8.04E+00,-2.86E-01,9.66E+00,3.88E+00,5.21E+00,4.59E+01,-5.51E+00,-6.31E+00,5.00E+00
17109-49-8,1.31E-01,2.49E+00,-1.07E+01,1.74E+00,2.10E+00,4.01E+02,-5.03E+00,-9.86E-01,1.15E+01,2.86E+00,3.54E+00,1.14E+02,-6.56E+00,-3.73E+00,5.00E+00
17804-35-2,-4.12E-01,2.46E+00,-1.09E+01,8.09E-01,6.53E-01,2.76E+02,-1.13E+01,2.03E-02,9.43E+00,2.61E+00,2.25E+00,1.84E+02,-8.58E+00,-4.79E+00,4.00E+00
18181-80-1,-2.39E-01,2.63E+00,-1.09E+01,2.06E+00,6.82E-01,4.10E+02,-9.26E+00,2.30E-01,1.09E+01,3.01E+00,5.27E+00,7.38E+01,-7.01E+00,-4.46E+00,3.00E+00
1825-21-4,-1.18E+00,2.45E+00,-1.18E+01,4.04E+00,6.80E-01,2.95E+02,-3.55E+00,2.42E+00,7.26E+00,3.96E+00,5.29E+00,1.00E+02,-1.35E+00,-5.88E+00,1.00E+00
1836-75-5,-9.69E-02,2.45E+00,-1.16E+01,2.87E+00,5.70E-01,3.59E+02,-5.62E+00,8.60E-01,8.61E+00,4.10E+00,4.64E+00,7.86E+01,-5.58E+00,-5.49E+00,5.00E+00
1861-32-1,7.39E-01,2.52E+00,-1.12E+01,2.39E+00,7.71E-01,3.61E+02,-7.77E+00,8.19E-01,8.97E+00,3.52E+00,4.12E+00,1.35E+02,-5.58E+00,-5.63E+00,5.00E+00
1861-40-1,-6.86E-01,2.53E+00,-1.09E+01,2.97E+00,5.49E-01,3.66E+02,-4.31E+00,2.71E-01,8.41E+00,3.98E+00,5.27E+00,5.66E+01,-4.25E+00,-6.45E+00,5.00E+00
1897-45-6,-1.57E+00,2.42E+00,-1.15E+01,1.88E+00,7.42E-01,3.44E+02,-5.55E+00,1.68E-01,8.49E+00,3.27E+00,3.10E+00,2.39E+02,-6.05E+00,-5.55E+00,4.00E+00
1912-24-9,-5.14E-01,2.33E+00,-1.08E+01,9.29E-01,6.92E-01,3.37E+02,-7.90E+00,-1.01E+00,8.38E+00,2.25E+00,2.69E+00,1.81E+02,-6.61E+00,-3.85E+00,5.00E+00
1918-16-7,-5.99E-01,2.33E+00,-1.08E+01,1.51E+00,5.26E-01,2.92E+02,-6.91E+00,-3.09E-01,7.38E+00,2.40E+00,2.29E+00,7.19E+01,-3.47E+00,-2.35E+00,3.00E+00
1929-77-7,1.39E-01,2.31E+00,-1.06E+01,1.56E+00,6.64E-01,2.13E+02,-6.25E+00,-9.56E-01,7.42E+00,2.37E+00,3.81E+00,-6.17E+00,-1.66E+00,-3.32E+00,4.00E+00
1948-33-0,-4.64E-01,2.22E+00,-1.06E+01,1.05E+00,6.46E-01,2.75E+02,-6.74E+00,-8.76E-01,7.84E+00,3.44E+00,3.30E+00,1.08E+02,-3.68E+00,-1.81E+00,5.00E+00
19666-30-9,-1.42E+00,2.54E+00,-1.09E+01,3.08E+00,6.81E-01,3.44E+02,-7.11E+00,6.61E-01,9.30E+00,3.47E+00,4.67E+00,8.64E+01,-6.89E+00,-5.29E+00,4.00E+00
2008-41-5,4.10E-01,2.34E+00,-1.06E+01,1.41E+00,8.91E-01,2.41E+02,-4.89E+00,-8.52E-01,7.44E+00,2.20E+00,4.05E+00,1.03E+01,-1.82E+00,-3.53E+00,4.00E+00
2032-65-7,-9.67E-01,2.35E+00,-1.08E+01,1.53E+00,5.47E-01,2.85E+02,-8.89E+00,-1.02E+00,9.54E+00,2.22E+00,2.77E+00,1.03E+02,-6.27E+00,-4.20E+00,4.00E+00
206-44-0,-1.10E+00,2.31E+00,-1.04E+01,3.39E+00,2.21E+00,3.92E+02,-4.96E+00,8.07E-02,8.87E+00,4.84E+00,5.18E+00,1.33E+02,-5.41E+00,-6.18E+00,1.00E+00
2104-64-5,-1.97E+00,2.51E+00,-1.08E+01,2.94E+00,7.97E-01,3.99E+02,-5.88E+00,3.32E-02,1.04E+01,3.18E+00,4.53E+00,4.53E+01,-6.10E+00,-5.10E+00,5.00E+00
2104-96-3,-2.09E+00,2.56E+00,-1.11E+01,3.52E+00,6.76E-01,3.72E+02,-5.13E+00,9.23E-01,9.60E+00,3.53E+00,5.20E+00,5.85E+01,-4.02E+00,-6.02E+00,4.00E+00
21087-64-9,3.15E-01,2.33E+00,-1.08E+01,4.09E-01,5.75E-01,3.00E+02,-8.66E+00,-1.14E+00,7.51E+00,1.74E+00,1.70E+00,1.27E+02,-6.02E+00,-2.21E+00,5.00E+00
21609-90-5,-5.36E-01,2.61E+00,-1.08E+01,3.81E+00,6.67E-01,4.21E+02,-5.06E+00,1.23E+00,1.17E+01,4.36E+00,6.16E+00,7.09E+01,-7.46E+00,-6.94E+00,5.00E+00
2163-79-3,8.76E-01,2.35E+00,-1.07E+01,6.66E-01,1.16E+00,2.95E+02,-8.81E+00,-4.10E-01,9.88E+00,2.44E+00,2.90E+00,1.78E+02,-7.14E+00,-3.04E+00,5.00E+00
2164-17-2,-1.69E-01,2.37E+00,-1.10E+01,1.01E+00,6.68E-01,3.03E+02,-8.07E+00,-1.08E+00,9.22E+00,1.96E+00,2.44E+00,1.54E+02,-5.95E+00,-3.45E+00,5.00E+00
21725-46-2,-2.72E-01,2.38E+00,-1.08E+01,1.05E+00,7.14E-01,3.25E+02,-8.22E+00,-9.31E-01,9.10E+00,2.33E+00,2.24E+00,1.66E+02,-6.71E+00,-3.00E+00,5.00E+00
2212-67-1,3.55E-01,2.27E+00,-1.06E+01,1.29E+00,5.67E-01,2.35E+02,-5.69E+00,-1.09E+00,6.67E+00,2.03E+00,3.24E+00,6.43E+01,-2.27E+00,-2.41E+00,4.00E+00
2243-62-1,8.30E-01,2.20E+00,-1.02E+01,7.63E-01,1.50E+00,3.58E+02,-7.16E+00,-6.23E-01,8.12E+00,2.69E+00,1.20E+00,1.42E+02,-4.67E+00,-2.45E+00,5.00E+00
2275-23-2,1.93E+00,2.46E+00,-1.08E+01,1.97E-01,4.91E-01,3.34E+02,-8.99E+00,-1.01E+00,1.11E+01,2.03E+00,1.03E+00,4.13E+01,-4.95E+00,3.33E-01,5.00E+00
22781-23-3,-1.16E+00,2.35E+00,-1.09E+01,1.00E+00,6.69E-01,2.98E+02,-8.11E+00,-6.19E-01,9.01E+00,2.59E+00,1.88E+00,1.27E+02,-4.57E+00,-2.48E+00,4.00E+00
2303-16-4,5.87E-01,2.43E+00,-1.07E+01,2.17E+00,6.38E-01,2.93E+02,-5.84E+00,-6.06E-01,8.21E+00,3.20E+00,4.31E+00,2.68E+01,-3.61E+00,-4.10E+00,3.00E+00
2303-17-5,-2.19E-01,2.48E+00,-1.08E+01,2.66E+00,6.43E-01,2.93E+02,-3.81E+00,-7.77E-01,8.86E+00,3.28E+00,4.51E+00,3.08E+01,-3.90E+00,-4.53E+00,3.00E+00
2310-17-0,-5.85E-01,2.57E+00,-1.08E+01,2.70E+00,1.73E+00,4.17E+02,-6.70E+00,2.26E-01,1.17E+01,2.64E+00,4.38E+00,4.96E+01,-6.91E+00,-5.13E+00,4.00E+00
23103-98-2,1.21E+00,2.38E+00,-1.08E+01,8.90E-01,5.82E-01,3.11E+02,-8.48E+00,-2.19E-01,8.63E+00,1.96E+00,1.53E+00,9.40E+01,-5.19E+00,-1.97E+00,4.00E+00
2312-35-8,-8.90E-01,2.54E+00,-1.05E+01,1.04E+00,7.54E-01,3.62E+02,-5.01E+00,-2.45E-01,1.07E+01,3.54E+00,4.88E+00,1.75E+02,-6.44E+00,-5.62E+00,5.00E+00
23135-22-0,8.29E-02,2.34E+00,-1.12E+01,3.28E-01,6.68E-01,3.06E+02,-9.88E+00,-1.03E+00,9.23E+00,1.10E+00,-5.38E-01,1.05E+02,-3.85E+00,-1.85E-01,4.00E+00
23564-05-8,5.52E-01,2.53E+00,-1.08E+01,7.50E-01,6.54E-01,2.65E+02,-9.80E+00,-5.41E-01,9.42E+00,3.10E+00,1.38E+00,1.67E+02,-7.20E+00,-4.04E+00,4.00E+00
23950-58-5,7.94E-01,2.41E+00,-1.10E+01,1.76E+00,5.19E-01,3.12E+02,-8.81E+00,-1.06E+00,9.62E+00,2.24E+00,3.33E+00,1.53E+02,-6.27E+00,-4.05E+00,5.00E+00
24017-47-8,-8.27E-01,2.50E+00,-1.08E+01,1.31E+00,6.77E-01,3.30E+02,-6.42E+00,5.33E-01,1.01E+01,2.21E+00,3.35E+00,1.17E+01,-5.48E+00,-4.00E+00,4.00E+00
2425-06-1,-6.29E-01,2.54E+00,-1.05E+01,2.11E+00,7.32E-01,3.02E+02,-5.11E+00,-1.35E-01,1.03E+01,3.29E+00,3.67E+00,1.57E+02,-5.58E+00,-5.05E+00,3.00E+00
2439-01-2,-2.11E+00,2.37E+00,-1.06E+01,1.14E+00,9.40E-01,3.30E+02,-8.73E+00,-7.23E-01,9.22E+00,3.34E+00,3.34E+00,1.63E+02,-6.60E+00,-5.23E+00,5.00E+00
2439-10-3,-3.04E-01,2.46E+00,-1.07E+01,1.90E+00,8.36E-01,2.55E+02,-8.46E+00,-7.40E-01,8.32E+00,3.09E+00,1.38E+00,1.37E+02,-6.58E+00,-2.57E+00,5.00E+00
2465-27-2,2.73E-01,2.48E+00,-1.08E+01,1.34E+00,9.19E-01,3.33E+02,-9.71E+00,-3.99E-01,1.06E+01,3.13E+00,3.64E+00,1.57E+02,-6.03E+00,-2.71E+00,5.00E+00
2489-77-2,2.59E+00,2.07E+00,-1.04E+01,5.21E-01,1.23E+00,2.51E+02,-8.46E+00,-7.69E-01,4.76E+00,1.68E+00,2.95E-02,8.95E+01,-1.06E+00,6.69E-01,5.00E+00
25057-89-0,1.99E+00,2.38E+00,-1.08E+01,1.51E-01,6.91E-01,3.04E+02,-9.59E+00,-1.08E+00,9.81E+00,1.56E+00,2.10E+00,1.47E+02,-6.03E+00,-2.66E+00,5.00E+00
25311-71-1,-1.33E+00,2.54E+00,-1.08E+01,2.04E+00,5.25E-01,3.52E+02,-9.16E+00,-4.43E-01,1.09E+01,2.71E+00,3.87E+00,-5.66E+00,-5.38E+00,-4.29E+00,5.00E+00
2540-82-1,1.10E+00,2.41E+00,-1.06E+01,3.99E-01,1.07E+00,3.29E+02,-7.06E+00,3.50E-02,9.39E+00,1.41E+00,1.35E+00,2.79E+01,-5.92E+00,-2.01E+00,4.00E+00
2595-54-2,6.63E-02,2.52E+00,-1.07E+01,1.25E+00,1.40E+00,3.30E+02,-9.02E+00,-3.54E-01,1.09E+01,2.41E+00,2.42E+00,2.56E+01,-4.90E+00,-2.69E+00,4.00E+00
2597-03-7,-1.46E+00,2.51E+00,-1.07E+01,1.66E+00,2.10E+00,3.74E+02,-6.87E+00,-6.67E-01,9.87E+00,2.89E+00,3.70E+00,1.29E+01,-5.40E+00,-4.92E+00,4.00E+00
26002-80-2,-1.52E+00,2.54E+00,-1.02E+01,2.87E+00,5.25E-01,3.50E+02,-7.56E+00,4.28E-01,1.01E+01,4.98E+00,6.16E+00,6.14E+01,-6.91E+00,-7.37E+00,1.00E+00
2636-26-2,1.26E+00,2.39E+00,-1.08E+01,1.48E+00,7.11E-01,3.46E+02,-6.41E+00,1.08E-01,8.78E+00,2.20E+00,2.65E+00,1.62E+01,-3.40E+00,-3.61E+00,4.00E+00
2691-41-0,9.86E-01,2.47E+00,-1.22E+01,-2.26E-01,6.26E-01,2.87E+02,-6.53E+00,-3.09E-01,5.01E+00,1.67E+00,1.40E-01,1.37E+02,-1.30E+01,-2.66E+00,5.00E+00
2698-41-1,4.84E-01,2.28E+00,-1.17E+01,1.12E+00,5.52E-01,3.11E+02,-8.43E+00,-1.68E-01,7.25E+00,1.80E+00,2.22E+00,9.23E+01,-4.36E+00,-2.12E+00,3.00E+00
27314-13-2,-2.95E-01,2.48E+00,-1.06E+01,1.36E+00,5.49E-01,3.30E+02,-8.93E+00,-4.40E-01,6.64E+00,3.13E+00,2.43E+00,6.70E+01,-3.78E+00,-3.51E+00,5.00E+00
28249-77-6,-7.24E-01,2.41E+00,-1.08E+01,2.12E+00,4.69E-01,3.06E+02,-7.72E+00,5.25E-01,8.92E+00,3.25E+00,3.38E+00,1.61E+01,-4.70E+00,-3.77E+00,4.00E+00
28434-01-7,-2.39E+00,2.53E+00,-9.96E+00,2.70E+00,5.25E-01,3.62E+02,-7.50E+00,4.96E-02,1.02E+01,4.90E+00,6.12E+00,5.41E+01,-6.36E+00,-6.60E+00,4.00E+00
2921-88-2,-2.38E+00,2.54E+00,-1.08E+01,3.23E+00,6.77E-01,3.72E+02,-5.68E+00,7.53E-01,1.06E+01,3.62E+00,4.85E+00,4.19E+01,-4.59E+00,-5.50E+00,4.00E+00
29232-93-7,-1.18E+00,2.48E+00,-1.08E+01,1.06E+00,6.76E-01,3.29E+02,-6.46E+00,3.10E-01,1.09E+01,2.93E+00,4.00E+00,1.50E+01,-4.77E+00,-4.28E+00,4.00E+00
297-78-9,-8.42E-01,2.61E+00,-1.22E+01,3.93E+00,2.03E+00,3.30E+02,-4.39E+00,2.06E+00,9.16E+00,4.45E+00,5.79E+00,1.22E+02,-5.46E+00,-6.58E+00,1.00E+00
298-00-0,-5.34E-01,2.42E+00,-1.09E+01,1.87E+00,7.59E-01,3.46E+02,-6.80E+00,4.23E-01,8.21E+00,2.96E+00,3.01E+00,2.94E+01,-5.29E+00,-3.79E+00,4.00E+00
298-04-4,-1.63E+00,2.44E+00,-1.03E+01,2.25E+00,2.14E+00,3.13E+02,-5.57E+00,7.61E-03,9.36E+00,3.11E+00,3.83E+00,-2.40E+01,-3.89E+00,-4.10E+00,4.00E+00
29973-13-5,6.08E-01,2.35E+00,-1.08E+01,8.73E-01,5.47E-01,2.86E+02,-8.51E+00,-1.08E+00,9.60E+00,2.09E+00,2.23E+00,6.64E+01,-5.43E+00,-2.29E+00,4.00E+00
299-84-3,-9.47E-01,2.51E+00,-1.10E+01,3.52E+00,7.55E-01,3.62E+02,-5.33E+00,8.87E-01,9.40E+00,3.65E+00,4.90E+00,4.86E+01,-4.08E+00,-5.54E+00,4.00E+00
299-86-5,9.56E-01,2.46E+00,-1.08E+01,1.69E+00,5.82E-01,3.00E+02,-6.85E+00,-1.20E-01,1.03E+01,2.72E+00,3.31E+00,6.30E+01,-5.35E+00,-3.19E+00,5.00E+00
300-76-5,-1.04E+00,2.58E+00,-1.05E+01,6.01E-01,6.17E-01,2.75E+02,-5.10E+00,6.23E-01,7.79E+00,2.20E+00,1.57E+00,2.19E+01,-3.43E+00,-2.16E+00,5.00E+00
302-17-0,1.73E+00,2.22E+00,-1.33E+01,5.70E-01,9.75E-01,1.11E+02,-7.20E+00,-1.07E+00,7.36E+00,5.00E-01,9.41E-01,6.46E+01,4.28E-01,5.19E-01,1.00E+00
30560-19-1,1.50E+00,2.26E+00,-1.09E+01,8.71E-02,5.51E-01,2.71E+02,-8.32E+00,-9.66E-01,8.72E+00,5.67E-01,-7.10E-01,8.62E+01,-5.65E+00,4.96E-01,5.00E+00
306-83-2,1.32E+00,2.18E+00,-1.36E+01,1.21E+00,8.79E-01,2.77E+01,-1.56E+00,-2.28E-01,2.19E+00,1.91E+00,2.38E+00,-1.04E+02,3.04E+00,-1.87E+00,1.00E+00
309-00-2,-1.71E+00,2.56E+00,-1.01E+01,3.81E+00,2.56E+00,3.24E+02,-4.29E+00,1.44E+00,9.40E+00,4.68E+00,6.31E+00,1.33E+02,-4.06E+00,-7.12E+00,3.00E+00
315-18-4,-4.59E-01,2.35E+00,-1.08E+01,1.40E+00,7.11E-01,2.84E+02,-8.40E+00,-4.57E-01,9.45E+00,2.38E+00,2.49E+00,8.91E+01,-5.05E+00,-3.22E+00,4.00E+00
319-84-6,1.30E-01,2.46E+00,-1.26E+01,3.18E+00,1.27E+00,2.36E+02,-5.13E+00,1.44E+00,7.25E+00,3.19E+00,3.66E+00,7.68E+01,-2.45E+00,-5.07E+00,1.00E+00
319-85-7,-7.65E-02,2.46E+00,-1.26E+01,3.18E+00,1.27E+00,2.36E+02,-5.13E+00,1.44E+00,7.25E+00,3.19E+00,3.66E+00,7.68E+01,-2.45E+00,-5.07E+00,1.00E+00
32809-16-8,1.19E+00,2.45E+00,-1.10E+01,1.48E+00,5.27E-01,3.44E+02,-6.63E+00,-4.71E-01,9.33E+00,3.21E+00,3.15E+00,1.55E+02,-4.20E+00,-4.60E+00,5.00E+00
330-54-1,-4.89E-01,2.37E+00,-1.09E+01,1.20E+00,5.51E-01,3.23E+02,-8.97E+00,-1.33E+00,9.96E+00,2.28E+00,2.55E+00,1.54E+02,-7.08E+00,-3.62E+00,5.00E+00
330-55-2,-8.74E-01,2.40E+00,-1.10E+01,1.29E+00,5.47E-01,3.23E+02,-9.13E+00,-9.86E-01,9.93E+00,2.59E+00,3.05E+00,9.52E+01,-5.54E+00,-3.39E+00,5.00E+00
33089-61-1,4.48E-01,2.47E+00,-1.05E+01,2.34E+00,5.87E-01,3.57E+02,-5.17E+00,4.10E-01,8.97E+00,3.02E+00,5.22E+00,8.92E+01,-5.82E+00,-5.37E+00,5.00E+00
333-41-5,-9.87E-01,2.48E+00,-1.08E+01,1.84E+00,6.78E-01,3.40E+02,-6.84E+00,1.35E-01,9.83E+00,2.69E+00,3.71E+00,2.00E+01,-4.09E+00,-3.95E+00,4.00E+00
3337-71-1,1.96E+00,2.36E+00,-1.12E+01,3.99E-01,6.50E-01,2.55E+02,-9.75E+00,-1.02E+00,8.14E+00,1.52E+00,-5.33E-02,1.49E+02,-8.30E+00,-1.75E+00,4.00E+00
3347-22-6,-3.39E-01,2.47E+00,-1.11E+01,5.17E-01,1.61E+00,4.10E+02,-5.31E+00,-4.99E-01,1.17E+01,2.64E+00,2.66E+00,2.19E+02,-1.06E+01,-4.47E+00,5.00E+00
33820-53-0,-4.35E-01,2.49E+00,-1.09E+01,2.93E+00,5.49E-01,3.42E+02,-6.02E+00,-3.23E-01,8.63E+00,3.96E+00,3.87E+00,8.61E+01,-4.47E+00,-6.16E+00,5.00E+00
34014-18-1,1.87E-01,2.36E+00,-1.07E+01,4.16E-01,6.60E-01,3.34E+02,-9.86E+00,-8.95E-01,1.02E+01,1.92E+00,1.65E+00,1.10E+02,-5.64E+00,-1.96E+00,5.00E+00
35554-44-0,1.72E-01,2.47E+00,-1.02E+01,1.54E+00,5.26E-01,3.46E+02,-6.28E+00,6.25E-01,9.84E+00,3.51E+00,3.67E+00,5.83E+01,-5.63E+00,-3.26E+00,5.00E+00
36734-19-7,-3.70E-01,2.52E+00,-1.06E+01,2.32E+00,5.26E-01,3.53E+02,-8.49E+00,-6.95E-02,1.03E+01,2.84E+00,2.99E+00,1.36E+02,-8.25E+00,-4.24E+00,5.00E+00
38260-54-7,-1.01E+00,2.47E+00,-1.10E+01,1.26E+00,6.32E-01,3.40E+02,-6.50E+00,3.77E-01,8.90E+00,2.32E+00,6.19E-01,1.56E+00,-4.14E+00,-3.82E+00,4.00E+00
404-86-4,3.89E-01,2.48E+00,-1.02E+01,1.13E+00,5.25E-01,3.19E+02,-9.25E+00,-7.21E-01,9.30E+00,2.90E+00,3.41E+00,7.84E+01,-9.37E+00,-4.26E+00,5.00E+00
40487-42-1,-1.34E+00,2.45E+00,-1.09E+01,2.99E+00,5.49E-01,3.31E+02,-5.77E+00,2.80E-01,1.02E+01,3.70E+00,5.06E+00,6.18E+01,-4.57E+00,-5.78E+00,5.00E+00
40596-69-8,1.89E-02,2.49E+00,-1.02E+01,2.16E+00,6.78E-01,3.49E+02,-6.96E+00,-2.00E-02,8.95E+00,3.14E+00,5.72E+00,-8.29E+00,-4.69E+00,-5.16E+00,1.00E+00
42874-03-3,-6.99E-01,2.56E+00,-1.09E+01,4.11E+00,5.49E-01,3.59E+02,-5.46E+00,-1.82E-01,8.96E+00,4.85E+00,4.71E+00,8.50E+01,-6.59E+00,-6.51E+00,5.00E+00
